Brand,Country,Purchasing Practice,Gender and Racial Equality,Sustainable Sourcing and Material,Overconsumption Waste and Circularity,Water and Chemical,Climate Change and Biodiversity,Score,Points,,,,
Abercrombie & Fitch,USA,0,2,3,2,0,2,9,46.75,49.75,19%,No match,
Adidas,Germany,5,1,6,5,4,5,26,128,143,51%,No match,Updated based on FTI Brazil feedback 
Aeropostale,USA,0,0,0,0,0,0,0,6.5,8.5,3%,No match,
AJIO,India,1,0,0,0,0,1,2,17.5,18.25,7%,No match,
ALDI Nord,Germany,3,2,2,0,2,5,14,77.5,62,31%,No match,
ALDI SOUTH,Germany,4,2,1,0,2,7,16,76,77,30%,No match,
ALDO,Canada,0,0,0,2,0,4,6,35,35.5,14%,No match,
Amazon,USA/EU,4,3,3,3,0,7,20,77.25,68.25,31%,No match,
American Eagle,USA,1,2,3,3,0,8,17,45.75,38.75,18%,No match,
ANTA,China,0,1,0,0,1,1,3,13.25,17.5,5%,No match,
Anthropologie,USA,1,2,4,4,2,1,14,34.75,39.25,14%,No match,
Aritzia,Canada,1,1,2,0,0,8,12,50.5,56.75,20%,No match,
Armani,USA,2,1,2,0,1,8,14,48.5,34.75,19%,No match,
Asda,UK,1,1,4,3,0,2,11,68.5,95.5,27%,No match,
ASICS,USA,1,1,4,5,2,9,22,110.25,122.25,44%,No match,
ASOS,UK,6,6,5,4,0,10,31,126.5,118.25,51%,No match,
Balenciaga,France,7,2,7,6,8,14,44,116.5,107,47%,No match,
Bally,Switzerland / German,0,2,3,2,1,3,11,62.25,35,25%,No match,
Banana Republic,USA,2,4,9,3,3,6,27,109.5,123,44%,No match,
BCBGMAXAZRIA,USA,0,0,0,0,0,0,0,3.25,4.75,1%,No match,
Beanpole,Korea,0,1,0,0,1,3,5,17.75,17.5,7%,No match,
Belle,China,0,0,0,0,0,0,0,0,0,0%,MATCH,
Bershka,Spain,10,5,9,7,3,11,45,107.75,91.5,43%,No match,Updated based on FTI Brazil
Big Bazaar - ffb,India,0,0,0,0,0,0,0,0,0,0%,MATCH,
Big W,Australia,6,3,1,0,0,5,15,95.25,73,38%,No match,
Billabong,USA,0,1,0,0,0,0,1,16.75,0.75,7%,No match,
Bloomingdale's,USA,0,0,0,0,0,1,1,14.25,25,6%,No match,
Bonprix,Germany,0,0,6,2,1,3,12,89.25,88.25,36%,No match,Updated based on Final review
boohoo,UK,2,2,7,2,0,9,22,70.25,49.25,28%,No match,Updated based on supplier list
Bosideng,China,0,0,0,0,0,1,1,15.5,11.5,6%,No match,
Bottega Veneta,Italy,7,2,7,5,8,14,43,115.5,106,46%,No match,
Brooks Sport,USA,1,3,4,0,2,7,17,67.75,74,27%,No match,
Brunello Cucinelli,Italy,0,2,1,1,3,5,12,36,12.5,14%,No match,
Buckle,USA,0,0,0,0,0,0,0,12.75,17.75,5%,No match,
Burberry,UK,12,3,4,4,2,13,38,98.75,84.5,40%,No match,
Burlington,USA,1,2,0,0,1,2,6,31.75,36.5,13%,No match,
C&A,Netherlands,6,2,9,5,4,10,36,147.75,162.75,59%,No match,Corrected in brand tracking doc - was 167.75 in brand tracking doc - check questionnaire
Calvin Klein,USA,5,4,4,4,6,6,29,140.75,147.5,56%,No match,
Calzedonia,Italy,7,5,4,6,3,9,34,134.75,26.75,54%,No match,
Canada Goose,Canada,0,0,2,1,2,2,7,21.5,21,9%,No match,
Carhartt,USA,1,0,0,0,0,0,1,22.75,21.5,9%,No match,
Carolina Herrera,USA,0,1,0,0,0,0,1,20.5,35.5,8%,No match,
CAROLL,France,0,0,2,0,0,1,3,18.5,31.5,7%,No match,
Carrefour,France,0,1,0,0,2,7,10,62,59.25,25%,No match,
Carter's,USA,1,2,1,4,3,4,15,45,30.5,18%,No match,
CELINE,France,0,2,5,3,3,13,26,71.75,58.25,29%,No match,Updated based on Final review
celio,France,0,0,0,0,0,0,0,1.25,1,1%,No match,
Champion,USA,2,2,0,2,2,2,10,67.75,98.25,27%,No match,
Chanel,France,0,2,0,1,0,10,13,36.75,27,15%,No match,
Chico's,USA,0,1,0,1,0,0,2,16.5,21,7%,No match,
Chloé,France,0,1,3,0,5,9,18,74.5,46,30%,No match,
Clarks,UK,1,2,1,1,0,1,6,66,7.75,26%,No match,
COACH,USA,1,5,3,4,4,5,22,66.25,85.25,27%,No match,
Cole Haan,USA,0,0,0,1,0,0,1,11.75,54,5%,No match,
Columbia Sportswear,USA,1,2,2,2,2,9,18,92.25,14,37%,No match,
Converse,USA,5,4,9,6,5,10,39,133.5,62.25,53%,No match,
Cortefiel,Spain,0,1,1,3,0,5,10,41.75,138.5,17%,No match,
Costco,USA,0,2,0,0,0,2,4,25.25,37,10%,No match,
Cotton On,Australia,2,1,6,0,0,0,9,54.5,29.25,22%,No match,
Decathlon,France,0,0,7,1,0,10,18,52.75,44,21%,No match,
Deichmann,Germany,0,0,0,0,0,0,0,6.25,59,3%,No match,Updated based on FTI Brazil comments
Desigual,Spain,0,3,2,1,1,5,12,42.25,6,17%,No match,
Dick's Sporting Goods,USA,1,0,2,0,0,2,5,60.5,52.5,24%,No match,
Diesel,Italy,1,2,0,0,0,0,3,16.5,77.75,7%,No match,
Dillard's,USA,0,0,0,0,0,0,0,11,18,4%,No match,
Dior,France,0,2,5,3,3,13,26,71.25,15.25,28%,No match,
Disney,USA,2,0,1,0,1,1,5,42.25,56.25,17%,No match,Updated based on Final review
DKNY,USA,0,0,0,0,0,0,0,2.5,51.25,1%,No match,
Dolce & Gabbana,Italy,0,0,0,0,0,0,0,4.25,4.5,2%,No match,Issue originally but corrected in dataset based on questionnaire
Dr. Martens,UK,2,2,4,2,0,3,13,75.75,4,30%,No match,
Dressmann,Norway,4,2,9,3,1,6,25,143,38.25,57%,No match,
DSW,USA,0,0,0,3,0,0,3,17.25,119,7%,No match,
Eddie Bauer,USA,0,0,3,1,1,0,5,13.5,22.5,5%,No match,
El Corte Inglés,Spain,1,4,5,3,1,2,16,64.5,7.25,26%,No match,
Elie Tahari,USA,0,0,0,0,0,0,0,0,70.25,0%,No match,
Ermenegildo Zegna,Italy,1,1,2,1,0,5,10,92.25,0,37%,No match,
Esprit,Germany,6,1,8,5,3,4,27,140.5,93,56%,No match,Updated based on Wikirate comment
Express,USA,0,0,0,0,0,0,0,12,150.75,5%,No match,
Falabella,Chile,2,3,0,1,1,3,10,32.25,14.75,13%,No match,
Famous Footwear,USA,0,1,3,0,1,1,6,20.75,43.25,8%,No match,
Fanatics,USA,1,1,0,0,0,0,2,35.25,15,14%,No match,
Fashion Nova,USA,0,0,0,0,0,0,0,0.75,30.5,0%,No match,
Fendi,France,0,2,8,6,3,13,32,133.25,0.5,53%,No match,
Fila,Italy/Korea,1,0,0,1,0,1,3,29.5,109.25,12%,No match,Updated based on Final review
Fjällräven,Sweden,4,1,3,1,3,1,13,74.5,10.75,30%,No match,
Foot Locker,USA,0,2,0,0,0,2,4,19,72,8%,No match,Updated based on Wikirate comment
Foschini,South Africa,1,4,3,3,1,2,14,45.5,18.25,18%,No match,
Fossil,USA,0,0,3,0,0,0,3,33.75,42.75,14%,No match,
Free people,USA,1,2,4,4,2,1,14,34.75,31.25,14%,No match,
Fruit of the Loom,USA,9,1,3,2,3,8,26,94.5,39.25,38%,No match,
Furla,Italy,0,0,0,0,0,0,0,14.5,85,6%,No match,
G-Star RAW,Netherlands,2,0,8,3,3,1,17,109,17.75,44%,No match,
Gap,USA,2,4,9,3,3,6,27,109.5,107.75,44%,No match,This is score for G-Star - different alphabetical order
Gerry Weber,Germany,0,0,0,0,0,0,0,12.75,123,5%,No match,This  is score for Gap 
Gildan,Canada,8,3,3,1,4,9,28,156,12.25,62%,No match,This is score for Gerry Weber
GU,Japan,5,4,6,6,7,12,40,123.5,157.75,49%,No match,This is the score for Gildan
Gucci,Italy,14,5,7,7,8,16,57,147.5,95.25,59%,No match,Updated based on Final review
GUESS,USA,0,3,7,3,1,7,21,75,140.25,30%,No match,Updated based on Final review
H&M,Sweden,17,3,7,6,4,14,51,164.75,29.75,66%,No match,Corrected this on brand tracking doc as was incorrect
Hanes,USA,2,2,0,2,2,2,10,68,168.75,27%,No match,
Heilan Home,China,0,0,0,0,0,0,0,0.25,98.25,0%,No match,
Helly Hansen,Norway,1,0,4,2,3,0,10,71,0.75,28%,No match,
HEMA,Netherlands,0,0,1,0,0,0,1,50.25,50.25,20%,MATCH,
Hermès,France,0,3,1,3,2,8,17,77.25,60.25,31%,No match,
Hollister Co.,USA,0,2,3,2,0,2,9,46.75,92.75,19%,No match,
Hudson's Bay,Canada,0,0,0,2,0,1,3,19,49.75,8%,No match,
Hugo Boss,Germany,5,3,9,1,6,8,32,123.25,33,49%,No match,
Intimissimi,Italy,7,5,4,6,3,9,34,134.75,84.25,54%,No match,
Ito-Yokado,Japan,0,1,0,0,1,3,5,33,26.75,13%,No match,
Jack & Jones,Denmark,3,3,8,1,2,8,25,90.75,36.5,36%,No match,
Jack Wolfskin,Germany,3,0,1,2,2,1,9,46,63,18%,No match,
JD Sports,UK,1,2,6,0,1,3,13,58,66.5,23%,No match,
Jil Sander,Germany,0,0,0,0,0,0,0,1,0,0%,No match,
Jockey,USA,0,0,0,0,0,0,0,5.5,15.25,2%,No match,
Joe Fresh,Canada,0,2,3,1,0,2,8,44.5,5.5,18%,No match,
John Lewis,UK,6,5,7,3,0,5,26,85.5,33.5,34%,No match,
Jordan,USA,5,4,9,6,5,10,39,133.5,66.25,53%,No match,
Justfab,USA,0,0,0,0,0,0,0,0,138.5,0%,No match,
K-Way,Italy,0,0,0,0,0,0,0,0,8.25,0%,No match,
Kate Spade,USA,1,4,3,1,4,5,18,62.25,10,25%,No match,Correct score but due to - score here is for K-Way
Kathmandu,NZ,3,1,1,1,0,2,8,57,54,23%,No match,Correct score but due to - score here is for Kate Spade
Kaufland,Germany,1,0,1,1,2,4,9,39.75,61.75,16%,No match,Correct score but due to - score here is for Kathamdu
Kiabi,France,0,0,6,8,0,0,14,49.75,34.25,20%,No match,Correct score but due to - score here is for Kaufland
KiK,Germany,0,0,0,0,0,0,0,29,54,12%,No match,Correct score but due to - score here is for Kiabi
Kmart,USA,0,0,0,0,0,0,0,16.25,35.75,7%,No match,Correct score but due to - score here is for KIK
Kmart Australia,Australia,17,5,8,4,9,10,53,196,21,78%,No match,Correct score but due to - score here is for Kmart
Kohl's,USA,1,0,4,0,2,3,10,36,139.25,14%,No match,Updated score
KOOVS,India,0,0,0,0,0,0,0,0,37.25,0%,No match,Correct score but due to - score here is for Kohl's
La Redoute,France,0,2,4,3,0,0,9,28.25,0,11%,No match,Correct score but due to - score here is for KOOVS
Lacoste,France,0,0,6,3,5,5,19,95.75,22.5,38%,No match,
Lands' End,USA,0,0,2,0,0,0,2,32.5,86.75,13%,No match,
LC Waikiki,Turkey,0,0,0,0,0,0,0,9.25,36,4%,No match,
Levi Strauss & Co,USA,3,3,5,5,3,10,29,123.5,10.25,49%,No match,
Li-Ning,China,0,0,0,0,2,1,3,22.25,110.75,9%,No match,
Lidl,Germany,3,2,3,1,2,7,18,74.75,31.75,30%,No match,Correct score but due to - score here is for Li-Ning
Lindex,Sweden,5,2,8,3,3,5,26,106,68,42%,No match,Correct score but due to - score here is for Lidl
LL Bean,USA,1,0,3,1,0,0,5,24.5,126,10%,No match,Correct score but due to - score here is for Lindex
Longchamp,France,0,0,0,2,0,0,2,8.25,21.5,3%,No match,
Louis Vuitton,France,0,2,5,3,3,13,26,72.25,7,29%,No match,
Lululemon,Canada,5,5,9,6,2,11,38,129.75,57.25,52%,No match,Corrected value in brand tracking doc based on questionnaire
Macy's,USA,0,0,0,0,0,1,1,14.25,105.75,6%,No match,
Mammut,Switzerland,5,0,5,4,1,5,20,66,25,26%,No match,
Mango,Spain,0,3,7,4,1,9,24,108.75,78,44%,No match,
Marc Jacobs,France,0,2,5,2,3,13,25,70.25,64.5,28%,No match,
Marks & Spencer,UK,5,2,9,4,0,9,29,108.75,55.25,44%,No match,Corrected value in brand tracking document based on questionnaire
Marni,Italy,0,0,0,0,0,0,0,12.5,120.25,5%,No match,
Massimo Dutti,Italy,10,5,9,7,3,11,45,107.75,11.25,43%,No match,
Matalan,UK,0,1,4,1,0,2,8,62,91.5,25%,No match,Updated based on FTI Brazil
Max ,UAE,0,0,0,0,0,1,1,8.75,43,4%,No match,
Max Mara,Italy,0,0,0,0,0,0,0,0.5,1,0%,No match,
Merrell,USA,0,0,0,1,0,0,1,12.25,22,5%,No match,
Metersbonwe,China,0,0,0,0,0,0,0,0,0,0%,MATCH,
Mexx,Netherlands,0,0,0,0,0,0,0,0,0,0%,MATCH,
Michael Kors,USA,1,2,1,0,1,1,6,33,37.75,13%,No match,Reviewed during final review
Miu Miu,Italy,0,2,4,1,0,9,16,44.25,46,18%,No match,
Mizuno,Japan,2,2,0,0,1,2,7,49,53.75,20%,No match,
Moncler,Italy,0,3,3,0,0,5,11,43,44.75,17%,No match,
Monoprix,France,0,1,3,0,0,5,9,46.25,45,19%,No match,
Morrisons,UK,1,1,5,5,0,5,17,66.75,69.75,27%,No match,
MRP,South Africa,0,3,1,1,1,2,8,32.25,37.25,13%,No match,
Muji,Japan,2,1,3,4,1,6,17,50.25,55.75,20%,No match,
New Balance,USA,7,2,3,3,4,0,19,103.5,105.75,41%,No match,
New Look,UK,4,2,7,1,1,5,20,100.25,85.5,40%,No match,
New Yorker,Germany,0,0,0,0,0,0,0,0.75,1,0%,No match,
Next,UK,5,3,3,0,3,12,26,92.75,99.25,37%,No match,
Nike,USA,5,4,9,6,5,10,39,133.5,138.5,53%,No match,
Nine West,USA,0,0,0,0,0,0,0,1.5,3.5,1%,No match,
Nordstrom,USA,1,3,5,2,1,3,15,42.75,70.25,17%,No match,
Old Navy,USA,2,4,9,3,3,6,27,109.5,123,44%,No match,
Otto,Germany,0,0,0,2,0,2,4,44.75,49.5,18%,No match,
OVS,Italy,20,4,8,8,7,9,56,195.5,196,78%,No match,
Paris,Chile,0,3,1,4,1,1,10,50,29,20%,No match,
Patagonia,USA,7,2,5,4,0,5,23,109,138.75,44%,No match,
Pepe Jeans,Spain,0,0,0,0,0,0,0,6,0.5,2%,No match,
Pimkie,France,3,0,3,8,0,2,16,54.25,72,22%,No match,
Prada,Italy,0,2,4,1,0,9,16,44.25,46,18%,No match,
PrettyLittleThing,UK,2,2,7,2,0,9,22,70.25,49.25,28%,No match,Updated
Primark,Ireland,7,3,4,3,2,8,27,88,95,35%,No match,
Prisma,Finland,1,2,3,2,1,7,16,67.5,62.75,27%,No match,Corrected value in brand tracking doc based on questionnaire
Pull&Bear,Spain,10,5,9,7,3,11,45,107.75,92.5,43%,No match,Updated based on final review
Puma,Germany,11,1,6,2,7,16,43,146,127,58%,No match,
Quiksilver,USA,0,1,0,0,0,0,1,16.75,0.75,7%,No match,
Ralph Lauren,USA,3,6,7,2,7,13,38,124,72,50%,No match,Updated based on Wikirate comment
Reebok,USA,5,1,6,5,3,1,21,119,143,48%,No match,Updated based on FTI Brazil
REI,USA,0,2,2,2,1,2,9,42,48.5,17%,No match,
Reliance Trends,India,1,0,0,0,0,1,2,17.5,18.25,7%,No match,
Reserved,Poland,0,1,5,2,2,5,15,39.5,38,16%,No match,
REVOLVE,USA,0,0,0,0,0,0,0,7,5.5,3%,No match,
River Island,UK,0,0,9,3,0,1,13,67.25,55,27%,No match,
Romwe,China,0,0,0,0,0,0,0,5,15.25,2%,No match,
Ross Dress for Less,USA,0,3,0,0,0,2,5,16.5,0.75,7%,No match,
Roxy,USA,0,1,0,0,0,0,1,16.75,85,7%,No match,
Russell Athletic,USA,9,1,3,2,3,8,26,94.5,27,38%,No match,
s.Oliver,Germany,1,0,4,1,1,0,7,67.25,120.75,27%,No match,
Sainsbury's,UK,5,5,5,4,4,8,31,111.25,107,45%,No match,
SAINT LAURENT,France,7,2,7,6,8,14,44,116.5,33,47%,No match,
Saks Fifth Avenue,USA,0,2,0,2,0,1,5,21,63.25,8%,No match,
Salvatore Ferragamo,Italy,0,2,3,1,1,11,18,60,22,24%,No match,
Sandro,France,0,1,2,1,0,0,4,20.5,0.5,8%,No match,
Semir,China,0,0,0,0,0,0,0,0.5,2.5,0%,No match,
SHEIN,China,0,0,0,0,0,0,0,5.5,20.25,2%,No match,
Shimamura,Japan,1,1,0,1,0,1,4,9.5,131.25,4%,No match,
Skechers,USA,1,0,0,0,0,0,1,16,22.75,6%,No match,
Speedo,UK,7,2,9,3,3,3,27,112.5,12.25,45%,No match,
Splash,UAE,0,0,0,0,0,0,0,0,33.75,0%,No match,
Sports Direct,UK,0,2,0,0,0,3,5,14.5,91.5,6%,No match,
Steve Madden,USA,1,2,4,2,0,1,10,35.25,79.25,14%,No match,
Stradivarius,Spain,10,5,9,7,3,11,45,107.75,29.25,43%,No match,
Superdry,UK,11,5,8,6,4,8,43,99,105.25,40%,No match,
Takko,Germany,5,0,0,0,0,0,5,21.25,139.25,9%,No match,Score updated
Target,USA,1,3,7,3,3,11,28,90,135.5,36%,No match,Updated based on Wikirate comment
Target Australia,Australia,17,5,8,4,9,10,53,196,53,78%,No match,
Tchibo,Germany,8,3,6,1,1,7,26,111.75,83.75,45%,No match,
Ted Baker,UK,1,3,5,1,0,7,17,59.25,26.75,24%,No match,
Tesco,UK,6,2,2,3,3,5,21,123.5,23,49%,No match,
Tezenis,Italy,7,5,4,6,3,9,34,134.75,164.25,54%,No match,
The Children's Place,USA,0,0,0,0,1,1,2,21.75,68,9%,No match,0.272
The North Face,USA,3,6,9,5,6,10,39,164.5,164.25,66%,No match,
The Warehouse,NZ,1,3,2,0,0,2,8,62.5,32.5,25%,No match,
Timberland,USA,3,6,9,5,6,10,39,164.5,34,66%,No match,
TJ Maxx,USA,1,2,0,2,0,2,7,31.75,0.5,13%,No match,
Tod's,Italy,0,2,0,0,1,2,5,23.75,105.75,10%,No match,
Tom Ford,USA,0,0,0,0,0,0,0,0.5,14,0%,No match,
Tom Tailor,Germany,5,2,7,2,0,6,22,106,147.5,42%,No match,
Tommy Bahama,USA,0,2,0,0,0,0,2,9.75,67.75,4%,No match,
Tommy Hilfiger,USA,5,4,4,4,6,6,29,140.75,67.75,56%,No match,
TOPVALU COLLECTION,Japan,0,0,2,0,1,9,12,42.75,41,17%,No match,
Tory Burch,USA,0,0,0,0,0,0,0,1.25,1,1%,No match,
Triumph,Germany,1,0,0,0,0,0,1,11.75,14.5,5%,No match,
Truworths,South Africa,0,2,0,2,0,0,4,10.25,26.5,4%,No match,Updated value in the brand tracking doc based on questionnaire
UGG,USA,4,2,7,5,5,11,34,139,136.25,56%,No match,
Under Armour,USA,2,2,0,0,0,2,6,54.75,53.75,22%,No match,Corrected value in the dataset based on questionnaire and updated brand tracker
Uniqlo,Japan,5,4,6,6,7,12,40,123.5,99.25,49%,No match,
United Arrows,Japan,0,1,0,4,0,0,5,23,21.75,9%,No match,
United Colors of Benetton,Italy,10,2,7,7,5,3,34,158,149.25,63%,No match,
Urban Outfitters,USA,1,2,4,4,2,1,14,34.75,39.25,14%,No match,
Valentino,Italy,0,0,0,0,0,0,0,12.25,20.25,5%,No match,
Van Heusen,USA,0,0,0,0,0,0,0,1.75,147.5,1%,No match,
Vans,USA,3,6,8,3,6,10,36,161.5,162.25,65%,No match,
Vero Moda,Denmark,3,3,8,1,2,8,25,90.75,64,36%,No match,
Versace,Italy,1,2,1,0,1,1,6,33,39,13%,No match,Reviewed during final review
Very,UK,0,2,0,3,0,2,7,53.75,57,22%,No match,
Victoria's Secret,USA,1,0,0,0,2,0,3,44.75,54,18%,No match,
Walmart,USA,3,3,4,1,2,5,18,60.5,64.25,24%,No match,
Woolworths South Africa,South Africa,1,2,5,2,3,4,17,66,61,26%,No match,
Wrangler,USA,3,4,4,6,4,6,27,111.25,85.5,45%,No match,
Youngor,China,0,0,0,0,0,0,0,0,0,0%,MATCH,
Zalando,Germany,2,4,6,6,0,12,30,110,112.25,44%,No match,
Zara,Spain,10,5,9,7,3,11,45,107.75,91.5,43%,No match,Updated based on FTI Brazil
Zeeman,Netherlands,16,3,6,2,0,2,29,143,96,57%,No match,Updated based on Wikirate comment